siec,unit,geo\time	2021M04 	2021M03 	2021M02 	2021M01 	2020M12 	2020M11 	2020M10 	2020M09 	2020M08 	2020M07 	2020M06 	2020M05 	2020M04 	2020M03 	2020M02 	2020M01 	2019M12 	2019M11 	2019M10 	2019M09 	2019M08 	2019M07 	2019M06 	2019M05 	2019M04 	2019M03 	2019M02 	2019M01 	2018M12 	2018M11 	2018M10 	2018M09 	2018M08 	2018M07 	2018M06 	2018M05 	2018M04 	2018M03 	2018M02 	2018M01 	2017M12 	2017M11 	2017M10 	2017M09 	2017M08 	2017M07 	2017M06 	2017M05 	2017M04 	2017M03 	2017M02 	2017M01 	2016M12 	2016M11 	2016M10 	2016M09 	2016M08 	2016M07 	2016M06 	2016M05 	2016M04 	2016M03 	2016M02 	2016M01 
CF_R,GWH,NO	20.787 	16.434 	13.725 	14.411 	17.034 	18.395 	17.775 	14.838 	17.337 	24.004 	19.602 	22.853 	22.242 	18.510 	17.670 	18.189 	19.596 	16.678 	20.014 	19.068 	20.923 	19.643 	16.727 	17.345 	19.104 	17.970 	17.998 	17.458 	15.132 	15.865 	13.751 	13.364 	17.215 	18.481 	14.517 	14.027 	13.424 	12.504 	12.068 	14.063 	14.174 	13.964 	18.597 	15.693 	16.566 	20.159 	20.520 	17.771 	16.652 	15.976 	15.906 	19.480 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CF_R,GWH,PL	: 	: 	488.954 	587.028 	642.132 	636.202 	625.862 	561.454 	576.566 	481.381 	528.281 	578.372 	540.516 	649.966 	587.636 	643.138 	643.827 	574.175 	583.971 	522.127 	547.666 	559.609 	502.194 	470.339 	514.449 	546.412 	480.242 	543.074 	551.022 	543.027 	530.251 	412.082 	460.827 	485.471 	474.872 	462.533 	423.149 	369.703 	463.778 	419.486 	349.281 	530.145 	443.662 	427.699 	491.973 	384.866 	457.510 	463.688 	478.138 	505.801 	467.378 	503.023 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CF_R,GWH,PT	: 	: 	342.453 	407.048 	405.447 	381.759 	389.753 	378.483 	371.968 	324.236 	319.075 	329.867 	355.878 	383.501 	356.786 	373.362 	317.619 	329.483 	356.098 	350.319 	382.501 	339.488 	334.132 	304.192 	310.000 	325.000 	271.000 	331.000 	329.000 	292.000 	273.000 	311.000 	331.000 	342.000 	329.000 	329.000 	311.000 	349.000 	316.000 	346.000 	351.000 	323.000 	323.000 	317.090 	344.050 	338.396 	309.942 	308.309 	339.577 	352.584 	329.419 	358.923 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CF_R,GWH,RO	: 	38.000 	33.000 	34.000 	40.000 	30.000 	34.000 	14.000 	12.000 	13.000 	16.000 	23.000 	24.000 	30.000 	31.000 	33.000 	26.000 	27.000 	27.000 	17.000 	21.000 	19.000 	10.000 	18.000 	22.000 	25.000 	26.000 	25.000 	21.000 	22.000 	17.000 	12.000 	15.000 	17.000 	16.000 	18.000 	14.000 	18.000 	19.000 	22.000 	24.000 	23.000 	23.000 	24.000 	22.000 	26.000 	17.000 	11.000 	16.000 	24.000 	17.000 	13.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CF_R,GWH,RS	: 	17.987 	16.974 	18.456 	18.078 	17.507 	17.921 	16.383 	16.362 	16.289 	14.449 	11.332 	4.553 	12.047 	13.036 	14.181 	12.654 	12.602 	11.390 	9.591 	9.752 	10.854 	9.594 	10.073 	9.909 	9.985 	8.785 	9.486 	9.729 	8.860 	8.990 	8.075 	8.804 	7.936 	7.512 	7.051 	7.138 	7.780 	6.410 	7.208 	7.168 	6.558 	6.968 	6.162 	6.497 	6.079 	5.549 	5.930 	5.190 	5.404 	2.164 e	2.659 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CF_R,GWH,SE	: 	1345.120 	1260.010 	1477.780 	1182.926 	952.097 	852.868 	747.134 	638.247 	644.682 	682.226 	790.797 	826.042 	1086.913 	1112.285 	1292.428 	1364.948 	1277.408 	1007.112 	760.613 	720.281 	723.733 	719.999 	913.668 	1170.985 	1360.527 	1281.135 	1518.909 	1465.893 	1239.839 	927.116 	764.523 	657.747 	613.311 	665.411 	744.000 	969.736 	1225.309 	1187.817 	1316.352 	1284.443 	1078.500 	962.792 	712.405 	670.503 	643.060 	698.074 	869.286 	1135.534 	1273.539 	1251.894 	1342.862 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CF_R,GWH,SI	: 	19.158 	16.519 	19.148 	19.413 	17.660 	18.007 	12.338 	11.829 	12.472 	13.037 	18.377 	18.913 	19.730 	19.810 	20.895 	19.547 	18.276 	18.925 	14.862 	11.440 	10.487 	9.328 	18.066 	19.327 	19.851 	20.278 	21.144 	22.045 	21.401 	21.165 	16.310 	14.138 	13.705 	14.070 	21.283 	21.299 	18.265 	17.128 	23.357 	21.459 	23.281 	20.171 	17.224 	14.524 	16.010 	16.223 	24.676 	24.169 	25.304 	23.746 	25.827 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CF_R,GWH,SK	: 	80.000 	70.000 	79.000 	68.000 	61.000 	69.000 	65.000 	52.000 	60.000 	55.000 	53.000 	57.000 	58.000 	65.000 	60.000 	48.000 	55.000 	57.000 	50.000 	56.000 	65.000 	69.000 	72.000 	73.000 	69.000 	64.000 	69.000 	66.000 	78.000 	89.000 	61.000 	84.000 	80.000 	81.000 	86.000 	82.000 	76.000 	66.000 	75.000 	75.000 	72.000 	86.000 	74.000 	74.000 	79.000 	79.000 	78.000 	77.000 	67.000 	61.000 	282.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CF_R,GWH,TR	: 	449.588 	404.714 	425.349 	398.438 	358.060 	371.757 	349.837 	343.268 	345.146 	330.641 	343.175 	332.186 	340.103 	307.488 	328.367 	310.188 	292.520 	272.345 	275.883 	278.915 	253.341 	267.872 	254.502 	242.136 	270.636 	243.763 	266.355 	242.071 	222.429 	297.607 	193.848 	192.177 	197.824 	192.445 	200.155 	228.553 	199.352 	177.658 	188.537 	178.431 	174.126 	174.197 	162.669 	161.914 	166.468 	157.032 	160.453 	152.673 	162.697 e	143.575 e	150.656 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CF_R,GWH,UA	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CF_R,GWH,UK	: 	: 	: 	: 	: 	: 	2591.823 	2274.719 	2513.855 	2991.392 	2806.495 	2897.566 	2699.101 	2963.401 	2719.699 	3127.018 	3201.085 	2984.165 	2368.267 	2399.829 	2549.033 	2530.008 	2528.975 	2672.692 	2308.791 	2562.397 	2254.773 	2611.618 	2766.633 	2676.926 	2828.688 	2520.238 	2559.557 	2322.055 	2259.482 	2627.228 	2363.140 	2415.822 	1992.512 	2060.272 	2331.678 	2254.597 	1815.020 	1857.767 	2458.257 	2444.173 	1937.364 	2613.651 	2277.729 	2613.032 	2401.493 	2118.353 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
G3000,GWH,AL	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
G3000,GWH,AT	: 	1115.649 	1150.020 	1471.139 	1445.226 	1159.542 	765.597 	409.118 	421.342 	451.254 	171.901 	167.967 	440.623 	949.137 	986.674 	1776.441 	1253.639 	1232.264 	1245.150 	977.324 	733.246 	514.220 	242.507 	149.026 	558.465 	705.563 	1273.218 	1619.779 	1544.466 	1185.743 	816.313 	586.031 	435.554 	314.482 	270.996 	213.200 	327.424 	1015.486 	1298.299 	1176.722 	1047.676 	1132.994 	780.529 	443.113 	399.677 	410.223 	454.228 	221.011 	586.118 	973.851 	1482.854 	2143.494 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
G3000,GWH,BA	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
G3000,GWH,BE	: 	2199.880 	1965.945 	2538.088 	2517.459 	2261.232 	2052.602 	2175.313 	2421.201 	2792.652 	2235.904 	1645.897 	1303.899 	1924.828 	1961.377 	2485.125 	1949.450 	2688.987 	2604.123 	2016.997 	1793.443 	1831.404 	1672.932 	1426.136 	1571.133 	1500.092 	1973.288 	2685.105 	2185.253 	3002.075 	2722.025 	1646.090 	1796.478 	1692.081 	1470.799 	1238.629 	1150.059 	1745.299 	1944.000 	1518.670 	2122.514 	2266.588 	1985.391 	1397.741 	1293.869 	1364.438 	1297.543 	1479.054 	1863.786 	1758.292 	1927.550 	2536.002 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
G3000,GWH,BG	: 	319.957 	294.147 	331.268 	293.081 	264.202 	187.247 	103.464 	107.958 	83.561 	86.541 	88.762 	131.477 	211.943 	220.636 	257.504 	233.763 	163.914 	116.781 	94.176 	94.607 	98.476 	92.043 	125.296 	187.027 	213.455 	234.159 	246.353 	231.124 	192.401 	130.823 	91.474 	90.153 	102.325 	92.119 	116.490 	132.179 	195.421 	196.724 	192.901 	196.553 	170.084 	112.396 	70.767 	8.648 	81.946 	84.553 	102.901 	130.338 	191.394 	207.623 	254.582 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
G3000,GWH,CY	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
G3000,GWH,CZ	: 	838.971 	704.176 	799.990 	834.654 	801.858 	460.111 	282.097 	601.274 	683.331 	527.119 	422.100 	377.426 	481.515 	559.410 	656.510 	427.466 	574.610 	642.297 	595.109 	537.969 	563.886 	443.222 	231.997 	310.314 	300.090 	447.151 	585.122 	462.558 	486.115 	386.009 	274.588 	374.632 	314.850 	154.276 	112.499 	128.043 	292.743 	374.041 	305.565 	313.084 	424.452 	259.140 	248.530 	264.795 	379.635 	275.082 	127.604 	177.127 	263.928 	358.701 	492.171 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
G3000,GWH,DE	: 	7981.264 e	8076.368 e	8820.575 e	8389.763 e	8163.702 e	6718.307 e	6249.947 e	6409.257 e	7185.874 e	6597.670 e	5066.652 e	4787.175 e	6590.407 e	6477.704 e	8109.667 e	6660.974 e	7814.988 e	7755.499 e	6503.130 e	6467.898 e	6364.497 e	5309.609 e	5633.917 e	5670.031 e	6087.599 e	7124.563 e	8475.136 e	7317.545 e	7576.058 e	5941.299 e	4702.708 e	5744.276 e	5289.545 e	4434.286 e	3963.054 e	4471.636 e	6881.457 e	7586.443 e	6719.770 e	6965.170 e	7453.385 e	5678.752 e	5561.552 e	4756.054 e	5446.400 e	4694.722 e	5508.734 e	5572.014 e	6715.718 e	7051.090 e	9447.693 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
G3000,GWH,DK	: 	168.717 	246.724 	282.242 	118.439 	113.537 	88.269 	68.444 	46.635 	52.177 	60.903 	65.170 	69.266 	116.856 	116.878 	147.809 	204.492 	220.676 	168.768 	82.490 	73.509 	64.531 	66.324 	103.739 	123.014 	195.948 	232.859 	316.699 	254.849 	229.188 	138.198 	84.618 	89.994 	58.387 	57.558 	68.427 	136.147 	253.262 	312.178 	276.870 	171.867 	181.740 	113.124 	104.640 	73.724 	67.018 	62.500 	110.727 	184.478 	317.097 	304.648 	343.889 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
G3000,GWH,EA19	: 	: 	28284.986 	34761.781 	33799.806 	33245.487 	28193.883 	30640.733 	32918.491 	34620.464 	28608.109 	22534.813 	19233.084 	26981.686 	28745.446 	37240.711 	29249.049 	34800.684 	35201.210 	31938.541 	32037.534 	32959.300 	26949.575 	26208.644 	24096.393 	26309.161 	30353.977 	37542.282 	31285.537 	33084.468 	26449.562 	21287.037 	22887.534 	23940.806 	20533.000 	18593.324 	18188.830 	25993.557 	29765.509 	27293.466 	31083.018 	34519.323 	27524.616 	23422.699 	22710.531 	25681.868 	22144.409 	22151.514 	22532.307 	27065.711 	28114.113 	37303.645 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
G3000,GWH,EE	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
G3000,GWH,EL	: 	1410.449 	923.880 	1704.146 	1812.190 	1482.310 	1420.039 	1634.954 	1859.933 	2023.960 	1412.092 	1254.780 	1059.752 	1136.488 	1199.616 	1660.700 	1013.860 	1109.752 	1471.070 	1557.257 	1689.170 	1806.250 	1395.618 	945.930 	948.880 	890.000 	1338.440 	2061.520 	1628.120 	1286.720 	1462.820 	1344.440 	675.470 	1280.900 	1078.790 	948.090 	787.850 	718.820 	1097.230 	1270.540 	1360.630 	1442.400 	1110.590 	1222.900 	1603.130 	1499.640 	1417.080 	971.590 	764.460 	763.960 	1239.830 	2000.670 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
